code	title	type	severity
AllFunctionPathMustHaveReturn	Все возможные пути выполнения функции должны содержать оператор Возврат	smell	major
AssignAliasFieldsInQuery	Назначение псевдонимов выбранным полям в запросе	smell	major
AssignToReadOnlyProperty	Присвоение значения свойству, доступному только для чтения	error	major
BadExceptionCategory	Недопустимая категория исключений	smell	trivial
BadWords	Запрещенные слова	smell	major
BeginTransactionBeforeTryCatch	Нарушение правил работы с транзакциями для метода 'НачатьТранзакцию'	error	major
CachedPublic	Кеширование программного интерфейса	smell	major
CanonicalSpellingKeywords	Каноническое написание ключевых слов	smell	trivial
CodeAfterAsyncCall	После вызова асинхронного метода есть строки кода	smell	major
CodeBlockBeforeSub	Определения методов должны размещаться перед операторами тела модуля	error	blocker
CodeOutOfRegion	Код расположен вне области	smell	trivial
CognitiveComplexity	Когнитивная сложность	smell	critical
CommandModuleExportMethods	Экспортные методы в модулях команд и общих команд	smell	trivial
CommentedCode	Закомментированный фрагмент кода	smell	minor
CommitTransactionOutsideTryCatch	Нарушение правил работы с транзакциями для метода 'ЗафиксироватьТранзакцию'	error	major
CommonModuleAssign	Присвоение общему модулю	error	blocker
CommonModuleInvalidType	Общий модуль недопустимого типа	error	major
CommonModuleMissingAPI	Общий модуль должен иметь программный интерфейс	smell	minor
CommonModuleNameCached	Пропущен постфикс "ПовтИсп"	smell	major
CommonModuleNameClient	Пропущен постфикс "Клиент"	smell	minor
CommonModuleNameClientServer	Пропущен постфикс "КлиентСервер"	smell	major
CommonModuleNameFullAccess	Пропущен постфикс "ПолныеПрава"	potential-security	major
CommonModuleNameGlobal	Пропущен постфикс "Глобальный"	smell	major
CommonModuleNameGlobalClient	Глобальный модуль с постфиксом "Клиент"	smell	major
CommonModuleNameServerCall	Пропущен постфикс "ВызовСервера"	smell	minor
CommonModuleNameWords	Нерекомендуемое имя общего модуля	smell	trivial
CommonModuleVariables	Объявление переменных в общем модуле	error	critical
CompareWithBoolean	Сравнение с булевой константой	smell	minor
CompilationDirectiveLost	Директивы компиляции методов	smell	major
CompilationDirectiveNeedLess	Лишняя директива компиляции	smell	major
ConsecutiveEmptyLines	Подряд идущие пустые строки	smell	trivial
CrazyMultilineString	Безумные многострочные литералы	smell	major
CreateQueryInCycle	Выполнение запроса в цикле	error	critical
CyclomaticComplexity	Цикломатическая сложность	smell	critical
DataExchangeLoading	Отсутствует проверка признака ОбменДанными.Загрузка в обработчике событий объекта	error	critical
DeletingCollectionItem	Удаление элемента при обходе коллекции посредством оператора "Для каждого ... Из ... Цикл"	error	major
DenyIncompleteValues	Запрет незаполненных значений у измерений регистров	smell	major
DeprecatedAttributes8312	Устаревшие объекты платформы 8.3.12	smell	trivial
DeprecatedCurrentDate	Использование устаревшего метода "ТекущаяДата"	error	major
DeprecatedFind	Использование устаревшего метода "Найти"	smell	minor
DeprecatedMessage	Ограничение на использование устаревшего метода "Сообщить"	smell	minor
DeprecatedMethodCall	Устаревшие методы не должны использоваться	smell	minor
DeprecatedTypeManagedForm	Устаревшее использование типа "УправляемаяФорма"	smell	trivial
DisableSafeMode	Отключение безопасного режима	security	major
DoubleNegatives	Двойные отрицания	smell	major
DuplicatedInsertionIntoCollection	Повторное добавление/вставка значений в коллекцию	smell	major
DuplicateRegion	Повторяющиеся разделы модуля	smell	trivial
DuplicateStringLiteral	Повторное использование строкового литерала	smell	minor
EmptyCodeBlock	Пустой блок кода	smell	major
EmptyRegion	Область не должна быть пустой	smell	trivial
EmptyStatement	Пустой оператор	smell	trivial
EventHandlerInvalidSignature	Несоответствие сигнатуры обработчика события	error	major
EventHandlerOutsideEventRegion	Обработчик события вне стандартной области	smell	trivial
ExcessiveAutoTestCheck	Избыточная проверка параметра АвтоТест	smell	minor
ExecuteExternalCode	Выполнение произвольного кода на сервере	security	critical
ExecuteExternalCodeInCommonModule	Выполнение произвольного кода в общем модуле на сервере	potential-security	critical
ExportVariables	Запрет экспортных глобальных переменных модуля	smell	major
ExternalAppStarting	Запуск внешних приложений	potential-security	major
ExtraCommas	Запятые без указания параметра в конце вызова метода	smell	major
FieldsFromJoinsWithoutIsNull	Отсутствие проверки на NULL для полей из присоединяемых таблиц	error	critical
FileSystemAccess	Доступ к файловой системе	security	major
ForbiddenMetadataName	Объекту метаданных присвоено запрещенное имя	error	blocker
FormDataToValue	Использование метода ДанныеФормыВЗначение	smell	trivial
FullOuterJoinQuery	Использование конструкции "ПОЛНОЕ ВНЕШНЕЕ СОЕДИНЕНИЕ" в запросах	smell	major
FunctionNameStartsWithGet	Имя функции не должно начинаться с "Получить"	smell	trivial
FunctionOutParameter	Исходящий параметр функции	smell	major
FunctionReturnsSamePrimitive	Функция всегда возвращает одно и то же примитивное значение	error	major
FunctionShouldHaveReturn	Функция должна содержать возврат	error	major
GetFormMethod	Использование метода ПолучитьФорму	error	major
GlobalContextMethodCollision8312	Конфликт имен методов с методами глобального контекста	error	blocker
IdenticalExpressions	Одинаковые выражения слева и справа от "foo" оператора	error	major
IfConditionComplexity	Использование сложных выражений в условии оператора "Если"	smell	minor
IfElseDuplicatedCodeBlock	Повторяющиеся блоки кода в синтаксической конструкции Если...Тогда...ИначеЕсли...	smell	minor
IfElseDuplicatedCondition	Повторяющиеся условия в синтаксической конструкции Если...Тогда...ИначеЕсли...	smell	major
IfElseIfEndsWithElse	Использование синтаксической конструкции Если...Тогда...ИначеЕсли...	smell	major
IncorrectLineBreak	Неправильный перенос выражения	smell	trivial
IncorrectUseLikeInQuery	Некорректное использование 'ПОДОБНО'	error	major
IncorrectUseOfStrTemplate	Неверное использование "СтрШаблон"	error	blocker
InternetAccess	Обращение к Интернет-ресурсам	security	major
InvalidCharacterInFile	Недопустимый символ	error	major
IsInRoleMethod	Использование метода РольДоступна	smell	major
JoinWithSubQuery	Соединение с вложенными запросами	smell	major
JoinWithVirtualTable	Соединение с виртуальными таблицами	smell	major
LatinAndCyrillicSymbolInWord	Смешивание латинских и кириллических символов в одном идентификаторе	smell	minor
LineLength	Ограничение на длину строки	smell	minor
LogicalOrInJoinQuerySection	Логическое 'ИЛИ' в соединениях запроса	smell	major
LogicalOrInTheWhereSectionOfQuery	Использование логического "ИЛИ" в секции "ГДЕ" запроса	smell	major
MagicDate	Магические даты	smell	minor
MagicNumber	Магические числа	smell	minor
MetadataObjectNameLength	Имена объектов метаданных не должны превышать допустимой длины наименования	error	major
